hotel,Price,rating,reviews,loc
,,,,
Ascott Rafal Olaya Riyadh,SAR836 ,7.2,"5,239 reviews",13.8 km from center
,,,,
Nawara Dala,SAR300 ,7,497 reviews,6.1 km from center
,,,,
امجاد الرياض,SAR240 ,6.2,179 reviews,4.6 km from center
,,,,
Al Muhaidb Gharnata - Al Malaz,SAR260 ,7.4,709 reviews,5.9 km from center
,,,,
IntercityHotel Riyadh Malaz,SAR425 ,8,"2,619 reviews",6.2 km from center
,,,,
Al Janaderia Suites 7,SAR315 ,7,853 reviews,2.6 km from center
,,,,
Hayat Rose Hotel Apartments,SAR398 ,7.7,561 reviews,9.2 km from center
,,,,
Boudl Al Munsiyah,SAR395 ,7.7,"2,711 reviews",20 km from center
,,,,
Al Farhan Hotel Suites - Al Salam,SAR218 ,6.6,"1,066 reviews",12.3 km from center
,,,,
Intour Qurtoba,SAR290 ,7.2,"1,002 reviews",13.5 km from center
,,,,
Rafa Homes Al Izdihar 1,SAR402 ,8,266 reviews,10 km from center
,,,,
Aber Al Munsiyah,SAR350 ,7.8,"1,224 reviews",19.9 km from center
,,,,
ElAF ALHAMRA,SAR180 ,6.2,80 reviews,11.8 km from center
,,,,
Manazel Maali Suites,SAR200 ,7.2,166 reviews,12.3 km from center
,,,,
Holiday Plus Cordoba,SAR213 ,7.5,509 reviews,14.6 km from center
,,,,
Al Muhaidb Al Malaz - Al Jamiah,SAR245 ,7.4,760 reviews,6.1 km from center
,,,,
Ewaa Express Hotel-Al Olaya,SAR300 ,6.8,"1,181 reviews",0.5 km from center
,,,,
سمو 2,SAR200 ,6.5,125 reviews,8.7 km from center
,,,,
فندق دولف الرياض Doolv hotel,SAR299 ,7.4,56 reviews,13.1 km from center
,,,,
الفرحان قرطبه,SAR446 ,7.5,482 reviews,14.9 km from center
,,,,
Al Muhaidb Jarir - Al Malaz,SAR340 ,7.9,473 reviews,6.3 km from center
,,,,
Malfakum Apartment Hotel,SAR350 ,8.8,764 reviews,16 km from center
,,,,
Dana Hotel & Residences,SAR450 ,,,16.6 km from center
,,,,
سمو 2,SAR200 ,6.5,125 reviews,8.7 km from center
,,,,
فندق دولف الرياض Doolv hotel,SAR299 ,7.4,56 reviews,13.1 km from center
,,,,
الفرحان قرطبه,SAR446 ,7.5,482 reviews,14.9 km from center
,,,,
Al Muhaidb Jarir - Al Malaz,SAR340 ,7.7,561 reviews,6.3 km from center
,,,,
Hayat Rose Hotel Apartments,SAR398 ,7.9,473 reviews,9.2 km from center
,,,,
Malfakum Apartment Hotel,SAR350 ,8.8,764 reviews,16 km from center
,,,,
Dana Hotel & Residences,SAR450 ,6.3,201 reviews,16.6 km from center
,,,,
قصر اليمامة للاجنحة الفندقية-فرع الحزم,SAR266 ,8.1,"3,843 reviews",17.6 km from center
,,,,
Ayan furnished units and Suites,SAR577 ,9.3,213 reviews,12.4 km from center
,,,,
Makarem Hotel Apartments,SAR400 ,6.8,"1,376 reviews",15.1 km from center
,,,,
Hyatt Buyutat,SAR410 ,6.1,230 reviews,2.6 km from center
,,,,
,,,,
,,,,
فلل لاكاسا الفندقية,"SAR4,976 ",4.8,71 reviews,6.5 km from center
,,,,
بي تو للوحدات الفندقية,SAR250 ,7.4,177 reviews,9 km from center
,,,,
towlan qurtaba,SAR240 ,8.2,347 reviews,14.3 km from center
,,,,
Manazilna Apartments Riyadh منازلنا للشقق المفروشة للمحصنين فقط,SAR240 ,9.7,181 reviews,9.4 km from center
,,,,
hosta hotel suites,SAR450 ,7.6,406 reviews,13.5 km from center
,,,,
Ashbonh Hotel Suites,SAR333 ,9,231 reviews,2.3 km from center
,,,,
Golden Tulip Riyadh,SAR550 ,7.3,210 reviews,12.2 km from center
,,,,
دار الشرق للوحدات السكنية المفروشة,SAR250 ,6.9,190 reviews,18.2 km from center
,,,,
تالـيـن غرناطه للاجنحة الفندقية,SAR280 ,7.1,"3,297 reviews",12.5 km from center
,,,,
Rose Garden Hotel,SAR264 ,5.3,601 reviews,4 km from center
,,,,
Al Eairy Apartments- Riyadh 3,SAR105 ,8.2,327 reviews,16 km from center
,,,,
Sweet Homes,SAR300 ,7.2,"1,061 reviews",14.5 km from center
,,,,
Boudl Al Malaz,SAR316 ,7.5,101 reviews,5.6 km from center
,,,,
قصر الحمراء للأجنحة الفندقية,SAR190 ,8.4,"1,368 reviews",4.4 km from center
,,,,
Nelover Hotel Ar Rawdah,SAR482 ,,,9.3 km from center
,,,,
Boudl Al Sahafa,SAR455 ,8.2,999 reviews,13.3 km from center
,,,,
Sixty Three Hotel Suites,SAR270 ,7.2,68 reviews,2.1 km from center
,,,,
Intour Qurtoba,SAR290 ,7.2,"1,002 reviews",13.5 km from center
,,,,
Al Muhaidb Al Narges,SAR300 ,7.2,966 reviews,14.6 km from center
,,,,
Unique Suites,SAR382 ,8.3,338 reviews,5.6 km from center
,,,,
Boudl Al Wadi,SAR420 ,7.9,446 reviews,11.1 km from center
,,,,
Rayatna for Furnished Apartments 2,SAR400 ,7.1,281 reviews,11.3 km from center
,,,,
Hotelier Al Sulaymaniyh,SAR210 ,6.8,252 reviews,2.6 km from center
,,,,
Cristal Amaken Hotel Riyadh,SAR800 ,8.3,349 reviews,26.3 km from center
,,,,
,,,,
,,,,
Boudl Al Munsiyah,SAR395 ,7.7,"2,711 reviews",20 km from center
,,,,
ال متعب سويتس الإزدهار,SAR509 ,7.6,347 reviews,9.6 km from center
,,,,
Royal Suites,SAR450 ,7.5,144 reviews,550 m from center
,,,,
Elite Furnished Units,SAR210 ,8.2,104 reviews,16.9 km from center
,,,,
Aber Al Munsiyah,SAR350 ,7.8,"1,224 reviews",19.9 km from center
,,,,
Bait Al Amani Suites,SAR170 ,6.1,230 reviews,2.8 km from center
,,,,
Nasima Hotel Apartements,SAR450 ,8.2,388 reviews,15 km from center
,,,,
Rafa,SAR414 ,7.2,901 reviews,12 km from center
,,,,
,,,,
,,,,
قصر الحمراء للأجنحة الفندقية,SAR190 ,7.5,101 reviews,4.4 km from center
,,,,
towlan qurtaba,SAR240 ,7.4,177 reviews,14.3 km from center
,,,,
Mena Andalusia Riyadh,SAR248 ,7.1,"3,381 reviews",1.8 km from center
,,,,
Al Eairy Apartments Al Riyad 5,SAR90 ,4.7,190 reviews,10.4 km from center
,,,,
Clemence Suites,SAR395 ,8.6,527 reviews,8.4 km from center
,,,,
شاليهات المقصد Al Maqsd Chalets,"SAR1,104 ",7.2,53 reviews,19.2 km from center
,,,,
Arto Aparthotel,SAR373 ,8.6,773 reviews,12.2 km from center
,,,,
Le Park Concord Rabwah Boutique Hotel,SAR315 ,7.7,211 reviews,8.9 km from center
,,,,
Dabab Hotel By Warwick,SAR329 ,7.4,"2,802 reviews",2.8 km from center
,,,,
